,Company,TypeName,Inches,Ram,OpSys,Weight,Cpu_Manufacturer,Cpu_Type,Cpu_GHz,Gpu_Manufacturer,Memory_Type,Memory_Size,Price
42,Asus,Notebook,15.6,8,Linux,2.3,Intel,Corei5,2.5,Nvidia,HDD,1024.0,27864.9072
43,Acer,Notebook,15.6,4,Windows 10,2.2,Intel,Corei5,1.6,Intel,SSD,256.0,36336.96
44,Dell,2 in 1 Convertible,17.3,12,Windows 10,2.77,Intel,Corei5,1.6,Nvidia,HDD,1024.0,53226.72
45,Apple,Ultrabook,13.3,8,macOS,1.37,Intel,Corei5,2.0,Intel,SSD,256.0,75604.31999999999
46,Lenovo,Notebook,15.6,4,No OS,2.2,Intel,Corei3,2.0,Intel,SSD,128.0,19660.32
47,Asus,Gaming,17.3,8,Windows 10,3.2,AMD,Ryzen1700,3.0,AMD,HDD,1280.0,69210.72
48,Dell,Notebook,15.6,4,Windows 10,2.3,Intel,Corei5,2.5,AMD,SSD,256.0,34045.92
49,Asus,Notebook,17.3,4,Windows 10,2.8,Intel,PentiumQuad,1.1,Nvidia,HDD,1024.0,24828.48
50,Lenovo,2 in 1 Convertible,10.1,4,Android,0.69,Intel,Atomx5,1.44,Intel,Storage,64.0,16996.32
51,Acer,Notebook,15.6,8,Windows 10,2.2,Intel,Corei7,1.8,Nvidia,SSD,256.0,44808.48
52,HP,Notebook,15.6,4,Windows 10,1.86,AMD,A6,2.5,AMD,SSD,256.0,21231.5472
53,HP,Notebook,13.3,8,Windows 10,1.49,Intel,Corei7,1.8,Intel,SSD,512.0,58767.84
54,Acer,Notebook,15.6,4,Windows 10,2.4,Intel,Corei3,2.4,Intel,HDD,1024.0,20459.52
55,Dell,Notebook,15.6,8,Windows 10,2.13,Intel,Corei7,1.8,AMD,SSD,256.0,40908.384
56,HP,Notebook,15.6,4,Windows 10,1.91,Intel,Corei3,2.0,Intel,SSD,128.0,23389.92
57,Asus,Notebook,15.6,4,Windows 10,2.0,Intel,Corei5,2.5,Intel,SSD,256.0,31232.203200000004
58,MSI,Gaming,17.3,16,Windows 10,2.43,Intel,Corei7,2.8,Nvidia,HDD,2304.0,130482.72
59,Asus,Notebook,15.6,4,Linux,2.0,Intel,Corei3,2.0,Intel,SSD,256.0,22111.2
60,Dell,Notebook,17.3,16,Windows 10,2.8,Intel,Corei7,1.8,AMD,HDD,2304.0,69210.72
61,Dell,Ultrabook,14.0,8,Windows 10,1.7,Intel,Corei5,1.6,Intel,SSD,256.0,46833.12
62,Lenovo,Notebook,14.0,8,No OS,1.7,Intel,Corei3,2.7,Intel,SSD,256.0,31914.72
63,Asus,Notebook,14.0,8,Windows 10,1.4,Intel,Corei5,1.6,Intel,SSD,256.0,50136.48
64,HP,Notebook,15.6,8,Windows 10,1.86,Intel,Corei5,2.5,Intel,SSD,256.0,36763.2
65,Asus,Ultrabook,15.6,16,Windows 10,1.8,Intel,Corei7,2.8,Nvidia,SSD,512.0,105654.24
66,HP,Notebook,15.6,4,Windows 10,1.86,Intel,Corei3,2.0,AMD,HDD,500.0,23373.4032
67,HP,Notebook,14.0,4,Windows 10,1.44,Intel,CeleronDual,1.6,Intel,SSD,32.0,12201.12
68,Lenovo,Notebook,15.6,4,Windows 10,1.9,Intel,Corei5,2.5,Intel,HDD,1024.0,29250.72
69,Asus,Gaming,17.3,12,Linux,3.0,Intel,Corei7,2.8,Nvidia,HDD,1024.0,50562.72
70,Microsoft,Ultrabook,13.5,4,Windows 10 S,1.252,Intel,Corei5,2.5,Intel,SSD,128.0,58021.92
71,Dell,Ultrabook,13.3,8,Windows 10,1.4,Intel,Corei7,1.8,AMD,SSD,256.0,50882.4
72,Dell,Notebook,15.6,8,Windows 10,2.2,Intel,Corei7,1.8,AMD,SSD,256.0,46353.6
73,MSI,Gaming,17.3,8,Windows 10,2.7,Intel,Corei5,2.5,Nvidia,HDD,1152.0,58341.6
74,Acer,Notebook,14.0,8,Windows 10,2.1,Intel,Corei3,2.0,Intel,HDD,1024.0,20725.92
75,Asus,Gaming,15.6,8,Windows 10,2.2,Intel,Corei7,2.8,Nvidia,HDD,1024.0,50562.72
76,Lenovo,Notebook,15.6,8,No OS,2.2,Intel,Corei5,2.5,Intel,HDD,2048.0,27652.32
77,Dell,Notebook,15.6,8,Windows 10,2.02,Intel,Corei7,1.8,Intel,HDD,1152.0,45554.4
78,Acer,Notebook,15.6,4,Windows 10,2.2,Intel,Corei3,2.7,Nvidia,HDD,1024.0,28238.4
79,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei5,1.6,Nvidia,HDD,1152.0,52054.56
80,Dell,Ultrabook,15.6,8,Windows 10,1.88,Intel,Corei5,1.6,Intel,SSD,256.0,58403.4048
81,Apple,Ultrabook,12.0,8,macOS,0.92,Intel,Corei5,1.3,Intel,SSD,512.0,80452.8
82,HP,Notebook,14.0,8,Windows 10,1.63,Intel,Corei5,1.6,Intel,SSD,256.0,45820.8
83,Lenovo,Notebook,15.6,4,Windows 10,2.2,AMD,A6,2.5,AMD,SSD,128.0,21258.72
84,Acer,Notebook,15.6,4,Windows 10,2.1,AMD,A9,3.0,AMD,HDD,1024.0,21045.6
85,Dell,Gaming,15.6,16,Windows 10,2.65,Intel,Corei7,2.8,Nvidia,HDD,1152.0,71874.72
86,HP,Ultrabook,15.6,8,Windows 10,1.83,Intel,Corei7,1.8,Nvidia,SSD,256.0,37242.72
87,HP,Notebook,15.6,8,Windows 10,1.96,Intel,Corei5,2.5,Intel,SSD,256.0,31914.1872
88,Asus,Gaming,15.6,16,Windows 10,2.2,Intel,Corei7,2.8,Nvidia,HDD,1152.0,77202.72
89,Dell,Ultrabook,13.3,8,Windows 10,1.21,Intel,Corei7,1.8,Intel,SSD,256.0,87858.72
91,Acer,Notebook,15.6,8,Windows 10,2.2,Intel,Corei7,1.8,Nvidia,HDD,1024.0,36709.92
92,HP,Notebook,13.3,16,Windows 10,1.49,Intel,Corei7,1.8,Intel,SSD,512.0,63776.16
93,Dell,Gaming,15.6,8,Windows 10,2.65,Intel,Corei5,2.5,Nvidia,SSD,256.0,63669.6
94,Asus,Ultrabook,14.0,8,Windows 10,1.25,Intel,Corei7,2.7,Intel,SSD,256.0,55890.72
95,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.5,Intel,Corei5,1.6,Intel,SSD,256.0,45128.16
96,Dell,Notebook,15.6,8,Linux,2.2,Intel,Corei7,2.7,AMD,HDD,1024.0,31962.672
97,Dell,Notebook,15.6,4,Linux,2.2,Intel,Corei3,2.0,AMD,SSD,256.0,25840.8
98,Asus,Notebook,15.6,6,Windows 10,2.0,Intel,Corei3,2.4,Nvidia,SSD,256.0,30742.56
99,HP,Gaming,15.6,12,Windows 10,2.62,Intel,Corei7,2.8,Nvidia,HDD,1152.0,66546.72
100,HP,Notebook,15.6,8,Windows 10,1.91,Intel,Corei7,2.7,AMD,SSD,256.0,38308.32
101,HP,Notebook,15.6,4,Windows 10,2.1,AMD,E,1.5,AMD,HDD,500.0,18594.72
102,Dell,Notebook,15.6,8,Linux,2.2,Intel,Corei5,1.6,AMD,HDD,1024.0,34472.16
103,HP,Ultrabook,13.3,8,Windows 10,1.38,Intel,Corei7,2.7,Nvidia,SSD,256.0,59620.32
104,Microsoft,Ultrabook,13.5,8,Windows 10 S,1.252,Intel,Corei5,2.5,Intel,SSD,256.0,71395.2
105,HP,Notebook,14.0,6,Windows 10,1.58,Intel,Corei5,2.5,Nvidia,SSD,256.0,35111.52
106,Lenovo,Notebook,15.6,4,Windows 10,1.85,Intel,Corei3,2.0,Intel,HDD,1024.0,22105.872
107,Asus,Ultrabook,14.0,8,Windows 10,1.3,Intel,Corei7,2.7,Nvidia,SSD,256.0,63563.04
108,MSI,Gaming,15.6,16,Windows 10,2.2,Intel,Corei7,2.8,Nvidia,HDD,1280.0,69210.72
109,Lenovo,Notebook,14.0,8,Windows 10,1.58,Intel,Corei7,2.7,Intel,SSD,256.0,78854.4
110,Asus,Ultrabook,15.6,16,Windows 10,1.5,Intel,Corei7,1.8,Nvidia,HDD,1280.0,67239.36
111,Dell,Ultrabook,13.3,8,Windows 10,1.23,Intel,Corei7,2.4,Intel,SSD,256.0,73473.12
112,Lenovo,2 in 1 Convertible,13.3,8,Windows 10,1.37,Intel,Corei5,2.5,Intel,SSD,256.0,74538.72
113,HP,Notebook,14.0,4,Windows 10,1.63,Intel,Corei5,1.6,Intel,HDD,500.0,38468.16
114,Dell,Ultrabook,13.3,8,Windows 10,1.21,Intel,Corei5,1.6,Intel,SSD,256.0,86793.12
115,HP,2 in 1 Convertible,13.3,8,Windows 10,1.26,Intel,Corei5,1.6,Intel,SSD,256.0,74538.1872
116,HP,Notebook,14.0,8,Windows 10,1.63,Intel,Corei7,1.8,Intel,SSD,512.0,57755.52
117,Dell,Notebook,15.6,8,Windows 10,2.16,Intel,Corei7,1.8,Nvidia,HDD,1280.0,60223.98239999999
118,Asus,Notebook,17.3,4,Windows 10,2.0,Intel,Corei3,2.0,Nvidia,HDD,1024.0,30049.92
119,Asus,Notebook,15.6,8,Windows 10,1.7,Intel,Corei7,1.8,Nvidia,SSD,256.0,59567.04
120,Acer,Notebook,15.6,6,Windows 10,2.1,Intel,Corei3,2.4,Intel,HDD,1024.0,25521.12
121,MSI,Gaming,15.6,16,Windows 10,1.8,Intel,Corei7,2.8,Nvidia,HDD,2304.0,119427.12
122,Lenovo,Notebook,15.6,8,No OS,2.2,Intel,Corei5,2.5,Nvidia,SSD,256.0,33513.119999999995
123,HP,Notebook,17.3,16,Windows 10,2.5,Intel,Corei7,1.8,Nvidia,SSD,512.0,67718.88
124,Acer,Notebook,15.6,4,Windows 10,2.1,AMD,A9,3.0,AMD,SSD,256.0,24029.28
125,HP,Notebook,15.6,4,No OS,1.86,Intel,CeleronDual,1.6,Intel,HDD,500.0,13799.52
126,HP,Notebook,14.0,8,Windows 10,1.63,Intel,Corei5,1.6,Intel,HDD,1024.0,43263.36
127,Asus,Notebook,14.0,4,Windows 10 S,1.65,AMD,E,1.5,AMD,SSD,64.0,14811.3072
128,Dell,Notebook,17.3,16,Windows 10,2.8,Intel,Corei7,1.8,AMD,HDD,2304.0,74378.87999999999
129,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei5,1.6,Intel,SSD,256.0,49443.84
130,Dell,Notebook,15.6,8,Windows 10,2.36,Intel,Corei5,2.5,AMD,HDD,1024.0,34045.3872
131,Dell,Notebook,15.6,4,Windows 10,2.2,Intel,Corei3,2.0,AMD,HDD,1024.0,23922.72
132,Acer,Ultrabook,14.0,8,Windows 10,1.6,Intel,Corei7,1.8,Intel,SSD,256.0,47099.52
133,Acer,Notebook,15.6,4,Windows 10,2.2,Intel,Corei3,2.7,Nvidia,SSD,256.0,30476.16
134,HP,Notebook,15.6,8,Windows 10,2.05,Intel,Corei7,2.7,Intel,HDD,1024.0,31861.44
135,HP,Notebook,14.0,8,Windows 10,1.63,Intel,Corei7,1.8,Intel,SSD,256.0,52640.64
136,Lenovo,Notebook,15.6,4,No OS,1.9,Intel,CeleronDual,1.1,Intel,HDD,1024.0,13445.7408
137,Asus,Gaming,17.3,8,Windows 10,3.0,Intel,Corei5,2.5,Nvidia,HDD,1152.0,49976.64
138,Lenovo,Notebook,15.6,4,No OS,2.2,Intel,Corei5,2.5,Nvidia,HDD,1024.0,26586.72
139,HP,Notebook,13.3,4,Windows 10,1.32,Intel,Corei5,2.5,Intel,SSD,256.0,37242.72
140,Acer,Notebook,17.3,4,Windows 10,3.0,Intel,Corei3,2.7,Nvidia,HDD,1024.0,34898.4
141,Lenovo,Notebook,14.0,8,Windows 10,1.75,Intel,Corei5,1.6,AMD,SSD,256.0,59461.5456
142,Lenovo,Gaming,15.6,8,No OS,2.4,Intel,Corei7,2.8,Nvidia,SSD,256.0,46300.32
143,Toshiba,Notebook,15.6,4,Windows 10,2.1,Intel,Corei5,2.3,Intel,HDD,500.0,32074.56
144,HP,Notebook,15.6,4,Windows 10,1.86,AMD,A6,2.5,AMD,SSD,256.0,19660.32
145,Asus,Ultrabook,14.0,8,Windows 10,1.25,Intel,Corei7,1.8,Intel,SSD,256.0,58554.72
146,HP,Ultrabook,12.5,8,Windows 10,0.97,Intel,CoreM,1.2,Intel,SSD,512.0,107305.92
147,Asus,Notebook,15.6,4,Windows 10,2.0,Intel,CeleronDual,1.1,Intel,HDD,1024.0,18328.32
148,MSI,Gaming,17.3,16,Windows 10,2.9,Intel,Corei7,2.8,Nvidia,HDD,1280.0,108105.12
149,Acer,Notebook,15.6,4,Windows 10,2.1,Intel,Corei3,2.0,Intel,HDD,1024.0,23816.16
150,Dell,Gaming,15.6,16,Windows 10,2.56,Intel,Corei7,2.8,Nvidia,SSD,512.0,66560.5728
151,Dell,Gaming,15.6,8,Windows 10,2.62,Intel,Corei7,2.8,Nvidia,Hybrid,1024.0,47898.72
152,Lenovo,Notebook,15.6,4,Windows 10,1.9,Intel,Corei5,2.5,Intel,SSD,128.0,26533.44
153,MSI,Gaming,17.3,16,Windows 10,2.8,Intel,Corei7,2.8,Nvidia,HDD,1280.0,100699.2
154,HP,Ultrabook,14.0,4,Windows 10,1.48,Intel,Corei5,2.7,Intel,SSD,256.0,57648.96
155,HP,Notebook,15.6,6,Windows 10,1.91,Intel,Corei5,1.6,AMD,SSD,256.0,32980.32
156,Lenovo,2 in 1 Convertible,14.0,4,Windows 10,1.74,Intel,Corei3,2.4,Intel,SSD,256.0,33513.119999999995
157,Asus,2 in 1 Convertible,13.3,8,Windows 10,1.1,Intel,Corei5,1.6,Intel,SSD,256.0,70063.2
158,Dell,2 in 1 Convertible,15.6,8,Windows 10,1.56,Intel,Corei7,1.8,Intel,SSD,256.0,55890.72
159,Toshiba,Notebook,15.6,4,Windows 10,2.1,Intel,Corei3,2.2,Intel,HDD,500.0,23816.16
161,Acer,Notebook,17.3,4,Windows 10,3.0,Intel,Corei5,1.6,Nvidia,SSD,256.0,42890.4
162,Dell,Notebook,15.6,8,Windows 10,2.13,Intel,Corei5,1.6,AMD,SSD,256.0,38787.84
163,Lenovo,Gaming,15.6,16,Windows 10,2.5,Intel,Corei7,2.8,Nvidia,SSD,256.0,57489.12
164,Acer,Notebook,15.6,4,Windows 10,2.1,Intel,CeleronDual,1.1,Intel,HDD,1024.0,18541.44
165,MSI,Gaming,15.6,16,Windows 10,2.4,Intel,Corei7,2.8,Nvidia,HDD,1280.0,95850.72
166,Acer,Notebook,15.6,4,Windows 10,2.1,Intel,PentiumQuad,1.1,Intel,HDD,1024.0,19367.8128
167,Dell,Gaming,15.6,8,Windows 10,2.56,Intel,Corei7,2.8,Nvidia,HDD,1152.0,56502.9072
168,Acer,Notebook,17.3,8,Windows 10,3.0,Intel,Corei5,1.6,Nvidia,SSD,256.0,45501.12
169,HP,Notebook,13.3,4,Windows 10,1.49,Intel,Corei5,1.6,Intel,HDD,500.0,40173.12
170,Huawei,Ultrabook,13.0,8,Windows 10,1.05,Intel,Corei5,2.5,Intel,SSD,256.0,71874.72
171,HP,Notebook,17.3,6,Windows 10,2.71,Intel,Corei5,2.5,AMD,HDD,2048.0,37242.72
172,Lenovo,Notebook,15.6,4,No OS,2.2,AMD,A6,2.9,AMD,HDD,500.0,16463.52
173,Toshiba,Notebook,15.6,4,Windows 10,2.0,Intel,Corei3,2.4,Intel,HDD,500.0,26053.92
174,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei5,1.6,Nvidia,SSD,256.0,49177.44
175,Dell,Notebook,15.6,8,Windows 10,2.3,Intel,Corei3,2.4,Intel,HDD,1024.0,24455.52
176,Acer,Notebook,15.6,4,Windows 10,2.1,Intel,Corei3,2.0,Intel,SSD,128.0,23922.72
178,Lenovo,Notebook,15.6,8,Windows 10,1.9,Intel,Corei5,2.5,AMD,HDD,1152.0,43316.64
179,HP,2 in 1 Convertible,13.3,8,Windows 10,1.29,Intel,Corei5,1.6,Intel,SSD,256.0,79866.72
180,Dell,Notebook,15.6,16,Linux,2.02,Intel,Corei7,1.8,AMD,HDD,2304.0,55890.72
181,Dell,Ultrabook,13.3,8,Windows 10,1.23,Intel,Corei5,1.6,Intel,SSD,256.0,74538.72
182,Lenovo,2 in 1 Convertible,13.9,16,Windows 10,1.4,Intel,Corei7,1.8,Intel,SSD,512.0,98514.72
183,Toshiba,Notebook,15.6,8,Windows 10,2.0,Intel,Corei5,2.5,Intel,SSD,128.0,42251.04
184,Xiaomi,Notebook,15.6,8,No OS,1.95,Intel,Corei5,1.6,Nvidia,SSD,256.0,63882.72
185,Dell,Notebook,17.3,16,Windows 10,2.77,Intel,Corei7,1.8,Nvidia,SSD,512.0,82530.72
186,Dell,Notebook,15.6,16,Windows 10,2.06,Intel,Corei7,2.8,Nvidia,SSD,512.0,127712.16
187,Lenovo,Gaming,15.6,8,No OS,2.4,Intel,Corei5,2.5,Nvidia,SSD,256.0,41505.12
189,Dell,Notebook,17.3,8,Windows 10,2.8,Intel,Corei7,1.8,AMD,HDD,1152.0,57808.8
190,Lenovo,2 in 1 Convertible,14.0,16,Windows 10,1.42,Intel,Corei7,2.7,Intel,SSD,1024.0,150462.72
191,Vero,Notebook,14.0,4,Windows 10,1.3,Intel,CeleronDual,1.1,Intel,Storage,32.0,13852.8
192,Xiaomi,Ultrabook,13.3,8,No OS,1.3,Intel,Corei5,2.5,Nvidia,SSD,256.0,53274.67199999999
193,Lenovo,Notebook,17.3,8,No OS,2.8,Intel,Corei5,1.6,Nvidia,SSD,256.0,37189.44
194,Dell,2 in 1 Convertible,13.3,8,Windows 10,1.62,Intel,Corei7,1.8,Intel,HDD,1024.0,44701.92
195,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei5,1.6,Nvidia,HDD,1024.0,48697.92
196,Razer,Gaming,17.3,32,Windows 10,3.49,Intel,Corei7,2.9,Nvidia,SSD,1024.0,324954.72
197,HP,Notebook,13.3,8,Windows 10,1.49,Intel,Corei5,1.6,Intel,SSD,512.0,51095.52
198,HP,Gaming,17.3,16,Windows 10,3.35,Intel,Corei7,2.8,Nvidia,HDD,1280.0,73473.12
199,HP,Notebook,17.3,8,Windows 10,2.5,Intel,Corei7,1.8,Nvidia,SSD,256.0,55677.6
200,Dell,Gaming,15.6,16,Windows 10,2.65,Intel,Corei7,2.8,Nvidia,HDD,1536.0,98301.6
201,Lenovo,Notebook,15.6,4,Windows 10,2.1,Intel,Corei5,2.3,Intel,SSD,128.0,26267.04
202,Acer,Notebook,15.6,8,Windows 10,2.23,Intel,Corei7,2.7,Nvidia,HDD,1024.0,39533.76
203,Lenovo,Gaming,15.6,16,Windows 10,3.2,Intel,Corei7,2.8,Nvidia,HDD,1536.0,93186.72
204,Dell,Workstation,15.6,16,Windows 10,2.8,Intel,XeonE3,3.0,Nvidia,HDD,1280.0,162770.4
205,Lenovo,Gaming,15.6,16,No OS,2.4,Intel,Corei7,2.8,Nvidia,SSD,512.0,74485.44
206,Dell,Notebook,15.6,6,Windows 10,2.3,Intel,Corei3,2.4,Intel,HDD,1024.0,23389.92
207,Dell,Ultrabook,13.3,8,Windows 10,1.21,Intel,Corei7,1.8,Intel,SSD,256.0,103842.72
208,Dell,Ultrabook,13.3,8,Windows 10,1.2,Intel,Corei7,1.8,Intel,SSD,256.0,77202.72
209,Lenovo,Notebook,15.6,8,Windows 10,2.2,Intel,Corei5,2.5,Intel,SSD,256.0,31808.16
210,Acer,Notebook,15.6,8,Linux,2.4,Intel,Corei7,2.8,Nvidia,HDD,1024.0,41505.12
211,Asus,Gaming,17.3,16,Windows 10,2.9,Intel,Corei7,2.8,Nvidia,HDD,1280.0,74964.95999999999
212,HP,Notebook,15.6,4,No OS,2.1,Intel,Corei3,2.0,Intel,HDD,500.0,18594.72
213,Lenovo,Notebook,15.6,8,No OS,2.2,Intel,Corei5,2.5,Intel,SSD,256.0,29250.72
214,Huawei,Ultrabook,13.0,8,Windows 10,1.05,Intel,Corei7,2.7,Intel,SSD,512.0,79866.72
215,Dell,Ultrabook,13.3,8,Windows 10,1.4,Intel,Corei7,1.8,AMD,SSD,256.0,49650.5664
216,Lenovo,Notebook,17.3,8,No OS,2.8,Intel,Corei5,2.5,Nvidia,HDD,1024.0,31381.92
217,HP,Notebook,14.0,8,Windows 10,1.63,Intel,Corei7,1.8,Nvidia,SSD,256.0,54931.68
218,Dell,Ultrabook,14.0,8,Windows 10,1.6,Intel,Corei5,1.6,Intel,SSD,256.0,61218.72
219,Dell,2 in 1 Convertible,13.3,16,Windows 10,1.62,Intel,Corei7,1.8,Intel,SSD,512.0,68145.12
220,Dell,Notebook,15.6,8,Linux,2.2,Intel,Corei5,1.6,AMD,SSD,256.0,36089.208
221,Lenovo,2 in 1 Convertible,14.0,8,Windows 10,1.74,Intel,Corei5,1.6,Intel,SSD,256.0,47898.72
222,Toshiba,Ultrabook,13.3,8,Windows 10,1.2,Intel,Corei7,2.5,Intel,SSD,256.0,72620.64
223,HP,Notebook,15.6,8,Windows 10,2.1,Intel,Corei5,1.6,Intel,HDD,1024.0,42304.32
224,Dell,Gaming,17.3,16,Windows 10,4.42,Intel,Corei7,2.8,Nvidia,HDD,1280.0,130873.7952
225,Acer,Notebook,15.6,8,Windows 10,2.2,Intel,Corei7,2.7,Nvidia,SSD,256.0,44328.96
226,Dell,Notebook,15.6,16,Windows 10,2.3,Intel,Corei7,2.7,AMD,HDD,1024.0,45768.0528
227,Asus,Notebook,15.6,8,Windows 10,2.0,Intel,Corei5,2.5,Nvidia,SSD,256.0,40972.32
228,Asus,Notebook,17.3,8,Windows 10,2.69,Intel,Corei5,2.5,Nvidia,HDD,756.0,47472.48
229,HP,Notebook,15.6,8,Windows 10,1.9,Intel,Corei7,2.7,AMD,HDD,1024.0,67612.31999999999
230,Asus,Notebook,15.6,4,Windows 10,2.37,Intel,Corei3,2.4,Intel,HDD,1024.0,21258.1872
231,HP,Notebook,15.6,4,Windows 10,2.1,AMD,E,1.5,AMD,HDD,500.0,17582.399999999998
232,Lenovo,Gaming,15.6,16,Windows 10,3.2,Intel,Corei7,2.8,Nvidia,HDD,1280.0,79866.72
233,Dell,Notebook,14.0,8,Windows 10,1.6,Intel,Corei5,2.5,Intel,SSD,256.0,45767.52
234,Acer,2 in 1 Convertible,13.3,8,Windows 10,1.6,Intel,Corei5,2.3,Intel,SSD,256.0,36709.92
235,Dell,Notebook,15.6,16,Linux,2.36,Intel,Corei7,2.7,AMD,SSD,256.0,47898.72
236,Acer,Notebook,15.6,4,Linux,2.1,Intel,Corei3,2.0,Intel,HDD,1024.0,20779.2
237,Asus,Notebook,15.6,4,Windows 10,2.2,AMD,A10,2.5,AMD,HDD,1152.0,30636.0
239,Acer,Gaming,15.6,8,Windows 10,2.5,Intel,Corei5,2.5,Nvidia,SSD,256.0,45074.88
